country_name,iso_3166_1_alpha_3,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population_male,population_female,population_rural,population_urban,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,fiscal_measures,international_support,emergency_investment_in_healthcare,investment_in_vaccines
Afghanistan,AFG,25.472213141549528,1.1526960784313725,6890.005623471882,308.0594995517157,19976265.0,18952076.0,28244481.0,9797273.0,11088732.0,9821559.0,7035871.0,4534646.0,2963459.0,1840198.0,1057496.0,480455.0,105925.0,19101353832.0,502.0,1478767.0,0.0,260068.25938566553,424876.70648464165,148293.96325459317
Albania,ALB,343.21338383838383,4.386363636363637,88877.10606060606,1473.891414141414,1429594.0,1432833.0,1106598.0,1747593.0,319074.0,381542.0,474360.0,366807.0,339697.0,398271.0,315510.0,190753.0,52224.0,15278077446.0,5352.0,53292.0,923194.7846153846,0.0,45375.21815008726,9019.607843137255
Algeria,DZA,334.760101010101,8.646464646464647,104778.52904040404,2965.997474747475,22153808.0,21697235.0,11542954.0,31510100.0,9677490.0,6731747.0,6573715.0,7275235.0,5448619.0,3800056.0,2530542.0,1237834.0,575805.0,169988236398.0,3948.0,192756.0,1280025.8533094812,0.0,583184.2576028622,2167168.5422163587
American Samoa,ASM,0.2474747474747475,0.0,4.097222222222222,0.0,,,7109.0,48203.0,,,,,,,,,,636000000.0,11466.0,,,,,
Andorra,AND,48.41161616161616,0.19065656565656566,9930.20202020202,87.3800505050505,58625.0,55581.0,9269.0,67873.0,9370.0,12022.0,10727.0,12394.0,21001.0,20720.0,14433.0,8657.0,4881.0,3154057987.0,40886.0,9407.0,760847.2086206897,817787.780656304,4520.318965517241,0.0
Angola,AGO,124.67929292929293,2.398989898989899,27840.96212121212,658.4823232323232,16260870.0,16605398.0,10764270.0,21061025.0,10899168.0,7881779.0,5306037.0,3699729.0,2412735.0,1464602.0,785897.0,331729.0,84592.0,94635415869.0,2973.0,195267.0,15706.806282722513,0.0,419580.4195804196,114434.33029908972
Anguilla,AIA,3.226010101010101,0.011363636363636364,342.9646464646465,0.9053030303030303,7151.0,7971.0,,,2196.0,2146.0,2005.0,2081.0,2187.0,2214.0,1351.0,641.0,301.0,,,2177161.0,,,,
Antarctica,ATA,,,,,,,,,,,,,,,,,,,,2186646.0,,,,
Antigua and Barbuda,ATG,9.405303030303031,0.17045454545454544,1392.3964646464647,34.56691919191919,47269.0,50659.0,73318.0,23800.0,14583.0,13867.0,14894.0,14094.0,13860.0,12832.0,8043.0,4101.0,1654.0,1727759259.0,17790.0,536900.0,,,,
Argentina,ARG,79.90775128055184,1.1388905047808289,19054.352014745098,404.69306557833795,108244.92051756008,114178.6876155268,3599141.0,41339571.0,37251.06469500924,39061.7449168207,35654.78188539741,32031.0,24989.314232902034,21689.325323475045,16157.611829944548,10077.308687615527,5509.881700554529,449663446954.0,10006.0,1862946.296875,26373571.588532884,0.0,341668.21247892076,127713.9208173691
Armenia,ARM,531.5757575757576,10.752525252525253,157383.523989899,3155.7449494949497,1393747.0,1569487.0,1087883.0,1869848.0,418859.0,368930.0,408924.0,503953.0,353088.0,362653.0,328402.0,126743.0,91682.0,13672802157.0,4622.0,364066.0,,,,
Aruba,ABW,42.53030303030303,0.26641414141414144,8623.835858585859,75.16161616161617,50642.0,56124.0,60019.0,46295.0,11757.0,14010.0,14980.0,11244.0,14271.0,17205.0,13754.0,6958.0,2587.0,3056424581.0,29007.0,1231749.0,467641.99655765924,0.0,0.0,0.0
Australia,AUS,947.9020854903121,1.5555236316621175,49528.05696656622,231.33763811163726,2607591.777777778,2649692.888888889,3519551.0,21844756.0,681124.0,646130.5555555555,697523.6666666666,765151.4444444445,681349.0,641479.7777777778,547550.2222222222,380363.0,216613.33333333334,1392680589329.0,54907.0,2078229.5555555555,380329123.0339559,1310562.4254237288,6558739.668358714,5923463.1700251885
Austria,AUT,111.88495990001041,0.562050828038746,15507.79771638371,195.16810748880326,609191.3125,630446.0625,3682651.0,5194416.0,120012.5625,120180.875,161536.75,170821.6875,169302.875,191670.125,136694.125,108634.4375,60783.9375,91011764520.0,50810.8,268601.35576923075,103397821.33333333,8889.795918367347,0.0,1370.82702020202
Azerbaijan,AZE,994.8699494949495,11.960858585858587,243423.7436868687,3278.969696969697,5064664.0,5074511.0,4407153.0,5616165.0,1686038.0,1335458.0,1608985.0,1766692.0,1280803.0,1281076.0,804308.0,242762.0,133053.0,48047647058.0,4793.0,364110.0,1008781.5042016807,16806.722689075632,257983.19327731093,0.0
Bahamas,BHS,41.85606060606061,0.9734848484848485,10210.829545454546,243.71969696969697,191093.0,202155.0,65698.0,323784.0,53654.0,63795.0,66568.0,55457.0,56496.0,49222.0,29430.0,13645.0,4981.0,12827000000.0,32933.0,547469.0,643177.8929188256,0.0,34542.31433506045,2043.4227330779056
Bahrain,BHR,656.040404040404,1.8371212121212122,147561.6893939394,639.189393939394,1100474.0,601109.0,174063.0,1467109.0,218135.0,181855.0,306670.0,507733.0,256721.0,140231.0,66572.0,17818.0,5848.0,38574069148.0,23503.0,378734.0,20046923.653198652,0.0,799488.0546075086,0.0
Bangladesh,BGD,57.90321079571894,36.68939393939394,22043.074142896963,11688.325757575758,53372959.0,51606703.5,102058744.0,60987417.0,18282388.5,19423780.0,19618977.0,17023931.0,12989983.0,9472911.5,4564642.5,2493189.0,1109860.0,302571254131.0,1855.0,4357174.923076923,16088447.826086957,872173.9130434783,228243.07029876977,0.0
Barbados,BRB,70.1300505050505,0.398989898989899,7126.645202020202,59.84469696969697,139084.0,148287.0,197594.0,89431.0,30618.0,36512.0,37578.0,37124.0,39067.0,39936.0,33573.0,20154.0,12809.0,5209000000.0,18148.0,547511.0,1700336.7003367003,25.252525252525253,19551.14814814815,0.0
Belarus,BLR,1168.5795454545455,8.233585858585858,287347.23232323234,2198.60101010101,4399367.0,5049954.0,1983874.0,7482982.0,1143840.0,928883.0,1077802.0,1530348.0,1285401.0,1345791.0,1243251.0,525562.0,368443.0,63080457022.0,6663.0,59065.0,0.0,0.0,1417.662162162162,0.0
Belgium,BEL,809.0467045454545,38.186868686868685,148670.32602272727,17468.674242424244,940804.3333333334,968448.8333333334,224973.0,11259082.0,213793.5,214717.83333333334,236144.5,248094.0,251483.66666666666,265709.3333333333,221005.83333333334,150476.33333333334,107828.16666666667,90406394233.33333,45597.166666666664,425672.25,25332718.159932658,0.0,2763215.4882154884,34718.354430379746
Belize,BLZ,71.73737373737374,0.8207070707070707,12368.9898989899,236.48737373737373,197761.0,199860.0,211314.0,179039.0,78106.0,77850.0,75819.0,59715.0,43958.0,31810.0,17814.0,8311.0,4238.0,1879613600.0,4815.0,287827.0,42420.78364565588,21517.887563884156,0.0,0.0
Benin,BEN,33.55429292929293,0.2058080808080808,8482.48106060606,73.90656565656566,6054248.0,6068950.0,6153002.0,5648149.0,3596950.0,2779486.0,2061768.0,1436443.0,981832.0,650681.0,379183.0,184835.0,52020.0,14390709094.0,1219.0,192784.0,1065722.0016863407,7588.532883642496,82202.51939291737,0.0
Bermuda,BMU,14.597222222222221,0.1553030303030303,2204.97095959596,32.359848484848484,32322.0,34524.0,0.0,63918.0,7430.0,7680.0,8063.0,7719.0,7253.0,10229.0,9484.0,5676.0,3313.0,,,1993208.0,317251.724137931,0.0,4827.586206896552,0.0
Bhutan,BTN,17.828282828282827,0.007575757575757576,1410.8926767676767,1.1742424242424243,410087.0,361525.0,445554.0,317538.0,125828.0,135993.0,153314.0,138681.0,89604.0,59014.0,36908.0,22234.0,10036.0,2446674102.0,3243.0,184629.0,746646.1669505963,170.35775127768312,45119.96592844975,0.0
Bolivia,BOL,1128.503787878788,27.074494949494948,274036.81186868687,10326.467171717171,1178301.6,1177196.6,3480065.0,8033035.0,481515.8,463087.8,412422.7,333951.1,251296.6,175430.3,122760.5,75359.8,39673.4,40895322865.0,3552.0,1386962.1,2042757.8481675393,0.0,290835.88132635254,0.0
Bosnia and Herzegovina,BIH,469.50252525252523,19.5770202020202,129921.86363636363,5571.237373737374,1606609.0,1674206.0,1695856.0,1605144.0,295212.0,346275.0,403272.0,458385.0,447738.0,500182.0,463795.0,242498.0,123458.0,20047848434.0,6073.0,2528142.0,1101117.6470588236,0.0,27663.025210084033,12998.585572842998
Botswana,BWA,333.270202020202,3.3068181818181817,67265.29924242424,819.7323232323232,1139099.0,1212526.0,687147.0,1616550.0,539005.0,472033.0,402509.0,365289.0,261015.0,146583.0,104251.0,48558.0,12382.0,18340510789.0,7961.0,1889339.0,598992.2930153322,0.0,7921.635434412266,0.0
Bouvet Island,BVT,,,,,,,,,,,,,,,,,,,,2425963.0,,,,
Brazil,BRA,19.444165642065844,0.42221378136656784,6950.1397075362775,194.05362091311767,55452.88700766352,57927.80876849047,27807886.0,183241641.0,16436.9418998396,18926.06665478524,19724.765817144893,17959.54179290679,15133.001069328106,11696.89912671538,7517.853502049546,4018.7775797540544,1966.1374086615576,919880147373.5,838648.0,373497.4773699216,359805226.964684,0.0,283639666.94052047,192417.0322997416
British Indian Ocean Territory,IOT,,,,,,,,,,,,,,,,,,,,1993867.0,,,,
British Virgin Islands,VGB,7.690656565656566,0.07828282828282829,1074.45202020202,12.265151515151516,16553.0,18223.0,15581.0,14449.0,3946.0,3818.0,5242.0,5991.0,5357.0,4985.0,3310.0,1570.0,556.0,,,285454.0,,,,
Brunei,BRN,96.63383838383838,0.10858585858585859,3843.4545454545455,13.529040404040405,226987.0,210496.0,95574.0,337711.0,66355.0,65084.0,69696.0,76568.0,68003.0,50221.0,28513.0,9569.0,3474.0,13469422941.0,31086.0,2103120.0,532203.3898305085,0.0,13050.813242784381,0.0
Bulgaria,BGR,1385.4772727272727,45.0959595959596,288330.58585858584,11331.593434343435,3395701.0,3604338.0,1719734.0,5256027.0,670392.0,650000.0,727368.0,969414.0,1062720.0,946529.0,954084.0,680922.0,338610.0,66182565600.0,9440.0,1660416.2068965517,10674110.555938037,0.0,699963.4413793103,101014.10727969349
Burkina Faso,BFA,26.200757575757574,0.4734848484848485,8369.377525252525,129.36111111111111,10444713.0,10458565.0,14229029.0,6092349.0,6552188.0,5029543.0,3508065.0,2428033.0,1587133.0,977490.0,538877.0,234237.0,47712.0,15745810234.0,774.0,192783.0,0.0,134680.13468013468,25647.811447811448,0.0
Burundi,BDI,48.16919191919192,0.01893939393939394,7371.949494949495,5.373737373737374,5899864.0,5990917.0,9989403.0,1541177.0,3872447.0,2725292.0,2029581.0,1539547.0,747632.0,491974.0,339631.0,112129.0,32548.0,3012334881.0,261.0,195269.0,0.0,0.0,925.925925925926,0.0
Cambodia,KHM,165.87373737373738,3.8295454545454546,36030.169191919194,771.9065656565657,8162424.0,8556547.0,12561921.0,3924621.0,3530587.0,3100069.0,3117605.0,2889268.0,1429087.0,1387484.0,816776.0,352445.0,95650.0,27089389786.0,1643.0,49898.0,1093062.605752961,0.0,101351.35135135135,0.0
Cameroon,CMR,150.55555555555554,2.428030303030303,48209.381313131315,806.2689393939394,13277075.0,13268789.0,11135124.0,14741256.0,7846026.0,6176459.0,4551787.0,3399842.0,2141843.0,1288477.0,733299.0,332734.0,75397.0,38760467033.0,1497.0,192830.0,1702702.7027027027,0.0,173429.05405405405,0.0
Canada,CAN,123.12447573211922,1.4375853236774017,26857.027527930022,535.7704059078972,2642284.4285714286,2717526.0,6960780.0,30628482.0,567535.5714285715,570234.2857142857,711638.7142857143,742823.7142857143,687597.7142857143,738315.0,671959.3571428572,430807.5,238898.5,298185055091.5833,46194.0,396327.5833333333,33190333.76919291,145111.51162504614,3209998.2616372393,959145.2901742961
Cape Verde,CPV,70.5669191919192,0.5063131313131313,18976.246212121212,165.2171717171717,279117.0,276871.0,185906.0,364029.0,105076.0,99937.0,97845.0,98286.0,64906.0,47912.0,26373.0,9056.0,6597.0,1981845740.0,3603.0,535774.0,103616.73345259392,0.0,31652.397137745975,51185.212276214836
Caribbean Netherlands,BES,,,,,15971.0,15575.0,,,3788.0,3565.0,3771.0,4747.0,4191.0,5594.0,3259.0,1975.0,657.0,,,1216720.0,,,,
Cayman Islands,CYM,24.460858585858585,0.021464646464646464,1941.594696969697,2.835858585858586,37180.0,39213.0,0.0,64948.0,9182.0,8787.0,9727.0,10004.0,10819.0,11693.0,9471.0,4638.0,2072.0,5485419416.0,85477.0,2185366.0,,,,
Central African Republic,CAF,18.08080808080808,0.14267676767676768,6097.844696969697,64.10732323232324,2394042.0,2435722.0,2763121.0,1982064.0,1435609.0,1264608.0,839990.0,501335.0,339529.0,232596.0,139061.0,61506.0,15530.0,2220307368.0,467.0,192790.0,190289.199318569,0.0,0.0,0.0
Chad,TCD,9.162878787878787,0.2398989898989899,3052.625,114.79797979797979,8200170.0,8225689.0,12234603.0,3712273.0,5452549.0,4038728.0,2781017.0,1769646.0,1082831.0,654647.0,417349.0,180661.0,48431.0,11314951342.0,709.0,2361304.0,586797.6115843271,0.0,128290.88756388416,0.0
Chile,CHL,115.923644844003,1.881570605770398,20418.086770793223,504.412622988228,74148.87603305785,71090.81818181818,2341903.0,16610135.0,306997.0588235294,307689.0588235294,357838.82352941175,363604.4705882353,315378.23529411765,293369.76470588235,215905.23529411765,118722.76470588235,59443.76470588235,282318159744.0,14896.0,938824.0357142857,26205733.558178753,20236087.68971332,2973246.428330523,4343037.283185841
China,CHN,42.1570648878108,1.2116434202546997,10502.836171284634,472.8705289672544,47068636.4375,44736970.9375,554781038.0,842933962.0,10676988.375,10395884.65625,11998645.40625,14856227.25,13733968.1875,14233209.9375,9589774.5625,4585337.15625,1735572.0625,3563210110528.111,10261.0,690361.1875,252614905.08870032,17689.568686548224,2538526.641998735,119562.84203919664
Christmas Island,CXR,,,,,1463.0,607.0,,,179.0,201.0,549.0,404.0,296.0,245.0,146.0,47.0,4.0,,,2177207.0,,,,
Cocos Islands,CCK,,,,,292.0,262.0,,,72.0,81.0,53.0,75.0,75.0,100.0,54.0,31.0,13.0,,,82636.0,,,,
Colombia,COL,51.84340367950979,1.4003320835881572,15416.379603449652,448.7535431605258,1557407.3902439023,1637714.975609756,9512141.0,40827302.0,462067.0243902439,502929.53658536583,536372.3902439025,501267.8780487805,416757.9268292683,362949.85365853657,240772.34146341463,119566.9756097561,52438.41463414634,323802808108.0,6432.0,1594864.48,42277433.53794266,53289.48735244519,10393381.246621622,0.0
Comoros,COM,10.160353535353535,0.20202020202020202,2501.6123737373737,77.42929292929293,438653.0,430942.0,602734.0,248152.0,237638.0,191268.0,150845.0,117377.0,77036.0,50892.0,29656.0,11659.0,3224.0,1185728676.0,1393.0,535790.0,,,,
Cook Islands,COK,0.10606060606060606,0.0,0.38257575757575757,0.0,9281.0,8768.0,,,2343.0,2596.0,2608.0,1747.0,2276.0,2977.0,1899.0,1105.0,499.0,,,2184233.0,,,,
Costa Rica,CRI,1024.040404040404,10.172979797979798,243762.75883838383,2984.868686868687,611882.25,629123.0,1005676.0,4041885.0,171181.625,176813.0,200258.0,199643.875,159058.375,146987.875,102374.875,56962.125,27725.25,61773944173.0,12238.0,2855951.0,906307.4974789916,2685.1949579831935,0.0,51020.4081632653
Croatia,HRV,1338.4823232323233,19.122474747474747,256946.547979798,4885.30303030303,1972572.0,2103674.0,1739182.0,2328318.0,387321.0,404914.0,479988.0,544058.0,542154.0,581554.0,560437.0,358187.0,217633.0,60917594400.0,14868.0,214885.0,10929983.19327731,0.0,351260.50420168065,4216.152368758003
Cuba,CUB,1352.6843434343434,10.72979797979798,272281.53282828286,2245.907828282828,657770.2941176471,666583.7647058824,2594348.0,8739135.0,140746.0588235294,142138.23529411765,164292.23529411765,175253.88235294117,186774.76470588235,231219.4705882353,139189.70588235295,91866.64705882352,52873.23529411765,100023000000.0,8821.0,2054825.5294117648,0.0,0.0,0.0,0.0
Curaçao,CUW,49.263888888888886,0.32954545454545453,8545.065656565657,69.66161616161617,75469.0,88631.0,17175.0,140363.0,19331.0,21574.0,19538.0,18723.0,20281.0,24426.0,20705.0,13005.0,6517.0,3127908044.0,19573.0,1216719.0,,,,
Cyprus,CYP,413.5858585858586,1.0909090909090908,60579.143939393936,256.2361111111111,427831.0,448068.0,397867.0,800708.0,95734.0,94326.0,137873.0,139859.0,110212.0,108417.0,93559.0,63906.0,32013.0,24942615800.0,28674.0,307787.0,3886632.436026936,0.0,184781.98653198653,0.0
Czech Republic,CZE,135.39002385149848,1.7286101604515756,30945.13684381843,587.827957625614,168407.18681318683,173991.9010989011,2782553.0,7887156.0,36503.82417582418,33151.71428571428,36960.67032967033,48328.74725274725,55701.93406593407,42583.241758241755,43396.48351648352,31741.89010989011,14030.670329670329,89941594200.0,21413.066666666666,437477.6043956044,7564899.912126537,3655.474516695958,217784.5360281195,0.0
Democratic Republic of the Congo,COD,56.76679841897233,1.6856060606060606,13008.207473508088,593.0037878787879,16310482.666666666,16470330.0,47694888.0,39095679.0,10778863.666666666,7701302.666666667,5184545.333333333,3575422.6666666665,2400291.3333333335,1595197.6666666667,950498.6666666666,473725.6666666667,120965.0,47319624204.0,545.0,1058218.25,614670.0507614213,0.0,110829.10321489001,0.0
Denmark,DNK,3540.223484848485,5.917929292929293,299797.07575757575,1704.5391414141413,2889073.0,2917008.0,698575.0,5119978.0,618216.0,683669.0,783879.0,681161.0,762648.0,797775.0,662929.0,552058.0,263746.0,355582262000.0,61360.0,50046.0,78141390.97811447,161054.97474747474,161140.32323232322,3797.46835443038
Djibouti,DJI,19.630050505050505,0.23863636363636365,7597.887626262626,93.2260101010101,518993.0,469009.0,215011.0,758549.0,197110.0,179320.0,177328.0,162416.0,120922.0,78077.0,44334.0,22330.0,6165.0,3318716359.0,3408.0,192801.0,10600.375234521576,0.0,9398.496240601504,0.0
Dominica,DMA,14.075757575757576,0.07702020202020202,1519.0252525252524,8.42550505050505,35041.0,36298.0,20978.0,50830.0,15280.0,15360.0,10894.0,12217.0,8926.0,5747.0,2629.0,178.0,110.0,596033333.0,8300.0,307823.0,13445.378151260504,0.0,0.0,0.0
Dominican Republic,DOM,726.560606060606,5.517676767676767,211852.1426767677,2498.6742424242425,348172.0606060606,344291.36363636365,1951483.0,8787475.0,123032.9696969697,121793.06060606061,119536.0303030303,100147.60606060606,81155.9696969697,68594.63636363637,43984.09090909091,22927.969696969696,11291.0,88941298257.0,8282.0,3335243.4545454546,1806057.4370748298,0.0,606942.168367347,978.8235294117648
East Timor,TLS,28.713383838383837,0.16287878787878787,6135.439393939394,31.247474747474747,666242.0,652200.0,892937.0,400182.0,331878.0,306716.0,244908.0,159027.0,100788.0,88473.0,50144.0,28914.0,7594.0,1673540300.0,1294.0,305142.0,145892.17398648648,26138.279932546375,107304.9460370995,0.0
Ecuador,ECU,1052.135101010101,44.50631313131313,285722.4747474748,16623.68308080808,703025.32,708149.92,6256951.0,11116711.0,263077.96,249763.76,239860.68,206846.92,166812.2,127639.2,87978.8,46291.52,22904.28,107435665000.0,6183.0,239899.0,742075.2136752136,0.0,1299145.2991452992,0.0
Egypt,EGY,614.1174242424242,30.46969696969697,181715.06313131313,10200.272727272728,51702862.0,50631541.0,57492249.0,42895824.0,25028540.0,18385431.0,16511130.0,15198349.0,10948602.0,7844892.0,5122657.0,2530980.0,763822.0,303175127597.0,3020.0,1473947.0,30715024.201451905,0.0,1077862.3188405796,0.0
El Salvador,SLV,197.42929292929293,5.152777777777778,55976.666666666664,1695.7487373737374,412795.0,469893.86666666664,1758851.0,4694702.0,155982.4,158693.2,165328.26666666666,119803.66666666667,98424.93333333333,77337.73333333334,55295.13333333333,34014.26666666667,17808.866666666665,27022640000.0,4187.0,3484310.1333333333,3069491.300341297,0.0,305119.45392491465,0.0
Equatorial Guinea,GNQ,20.056818181818183,0.23106060606060605,6568.652777777777,89.57954545454545,780380.0,622605.0,371174.0,984812.0,371663.0,265297.0,286385.0,248981.0,115362.0,62217.0,34879.0,14721.0,3480.0,11026774945.0,8131.0,192791.0,,,,
Eritrea,ERI,12.256313131313131,0.13005050505050506,3182.686868686869,20.133838383838384,1777548.0,1768879.0,,,971770.0,860625.0,572236.0,460764.0,280842.0,171950.0,128327.0,77082.0,22831.0,,,296961.0,915.3722504230118,0.0,0.0,0.0
Estonia,EST,87.42809307117713,2.8724747474747474,12327.010732377435,727.3661616161617,625635.0,699185.0,410566.0,916024.0,144911.0,133739.0,152825.0,192519.0,182048.0,171824.0,162450.0,109787.0,74717.0,30722303000.0,23246.0,334738.25,5333562.4781849915,577.6614310645724,2392.479930191972,0.0
Ethiopia,ETH,591.9823232323232,9.43560606060606,176982.7095959596,2821.1136363636365,57516835.0,57446748.0,88290020.0,23788710.0,32037548.0,26828994.0,21439045.0,13792878.0,9038653.0,5704066.0,3624554.0,1929368.0,568477.0,96107662398.0,857.0,192800.0,2356902.3569023567,0.0,259992.41414141413,0.0
Falkland Islands,FLK,0.1452020202020202,0.0,39.93181818181818,0.0,1385.0,1296.0,,,414.0,270.0,311.0,314.0,319.0,337.0,316.0,273.0,126.0,,,2185374.0,,,,
Faroe Islands,FRO,43.76010101010101,0.03535353535353535,2339.3800505050503,2.88510101010101,27785.0,25775.0,28124.0,20554.0,7165.0,7068.0,7773.0,6229.0,6056.0,6837.0,5844.0,4321.0,2267.0,2833300519.0,58622.0,52939.0,0.0,0.0,0.0,0.0
Fiji,FJI,80.80681818181819,1.053030303030303,15038.585858585859,181.52904040404042,454018.0,442426.0,384905.0,505048.0,177140.0,158135.0,141945.0,134954.0,106523.0,91437.0,57119.0,23633.0,5558.0,5535548972.0,6220.0,571747.0,673400.6734006734,0.0,67340.06734006734,0.0
Finland,FIN,1043.3106918238993,3.013888888888889,94713.34465408805,762.8232323232323,2723290.0,2794629.0,803426.0,4716888.0,576696.0,601705.0,675248.0,706147.0,657943.0,732782.0,724769.0,539919.0,302710.0,276654540000.0,50150.0,54224.0,866949.013536379,16234.246205733558,190213.3569023569,7017.503797468355
France,FRA,822.9176141268158,4.053526750066543,99032.0552564087,1614.6531781153237,836000.3739130435,893348.3391304348,12936523.0,54123364.0,202163.65217391305,213954.38260869565,194295.61739130435,214284.99130434782,223601.75652173912,226729.22608695654,206807.81739130436,141031.46956521738,106479.80869565217,1821309202500.0,55873.0,518205.50458715594,1550369550.23339,2234675.391822828,19650516.686440676,761759.709390863
French Guiana,GUF,98.18813131313131,0.494949494949495,21295.16792929293,125.02525252525253,147750.0,150932.0,,,66121.0,57553.0,46109.0,38719.0,36990.0,26711.0,17226.0,7222.0,2031.0,,,1260551.0,,,,
French Polynesia,PYF,86.39520202020202,0.8106060606060606,18613.88888888889,198.1578282828283,142261.0,138643.0,106417.0,172870.0,39634.0,44134.0,40380.0,43367.0,39588.0,35649.0,23042.0,10823.0,4287.0,,,3412620.0,,,,
French Southern Territories,ATF,,,,,,,,,,,,,,,,,,,,2186658.0,,,,
Gabon,GAB,60.0290404040404,0.38257575757575757,17171.70707070707,112.15151515151516,1132854.0,1092874.0,222885.0,1949694.0,600006.0,422770.0,367413.0,350066.0,232164.0,134152.0,71303.0,36693.0,11161.0,16657960228.0,7667.0,192793.0,698653.1986531987,0.0,3367.003367003367,0.0
Gambia,GMB,15.085858585858587,0.46085858585858586,4885.563131313132,154.82954545454547,1198540.0,1218124.0,893748.0,1453958.0,762310.0,556857.0,429179.0,283131.0,174067.0,115911.0,59281.0,30008.0,5920.0,1763819047.0,751.0,192774.0,52004.28620102214,0.0,16740.20442930153,0.0
Georgia,GEO,2046.2613636363637,20.588383838383837,325331.327020202,4284.998737373738,1901227.0,2087947.0,1523906.0,2196476.0,553163.0,471057.0,500698.0,565076.0,517946.0,523623.0,459858.0,248786.0,148968.0,17743195770.0,4769.0,,3769441.720670391,0.0,701464.9014869889,0.0
