iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
KOR,13.85902794207317,7.8,1.541774250521805,1.5559188201938718,2.2767695832881794,6.9,31761.0,1642383217167.0,0.845,36.0,527.298,23.3,0.4732759248377334,0.000539602903365946,51269183.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0
KWT,28.121803579268292,17.4,12.65834558466459,12.693615630047288,2.6339732678075007,12.2,32031.0,134761198945.0,0.576,29.166667,239.65,22.5,0.1540183343507636,0.0006001550615223332,4270563.0,4.0,0.0,3.0,2.0,5.0,3.0,2.0
LAO,27.34468594512195,27.0,5.619221490415476,6.27949967844382,0.5283675791166698,6.4,2534.0,18173839128.0,0.452,18.2,31.523000000000003,28.9,0.029572585242969747,0.00010404703090732859,7275556.0,4.0,0.0,2.0,2.0,0.0,3.0,2.0
LBN,19.76007663857868,17.9,0.8832765006650889,0.9798273944024506,2.485364945700848,11.2,7784.0,53367042272.0,0.538,33.833333,667.199,33.8,0.1777467305414067,0.001560338509945583,6825442.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0
LBR,26.160455606811144,17.6,24.29931435584624,23.639726983015297,,2.4,621.0,3070518100.0,0.319,6.533333,52.509,9.8,0.0015677157714895594,5.81294535020722e-05,5057677.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0
LBY,25.133611105714284,20.1,1.8412947263196882,3.0757628871104354,0.5056732917413396,10.2,7683.0,52076250947.0,,27.0,3.905,,0.07377206045970719,0.0009367968475192493,6871287.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0
LCA,27.328265248987854,18.8,1.097321229217607,1.555232094525997,1.215183098219002,11.6,11611.0,2122450629.0,,13.883333,301.031,,0.1577038485206585,0.002140184829193646,183629.0,[],[],[],[],[],[],[]
LIE,9.133012950253807,,1.0841360430099818,1.0941705161741253,3.411055363974691,9.4,173356.0,6552858738.0,,47.145,242.1,,0.5052373755797592,0.0022408671634790767,38378.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0
LKA,25.698068049847407,17.4,2.170270113501524,2.1032991746993837,0.42758600176904266,10.7,3853.0,84008783756.0,0.584,7.0,341.465,13.0,0.031313275658762685,0.0007816188574831005,21413250.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0
LSO,13.82761355747711,26.6,25.456243009692603,22.707240594919444,0.25813956527990173,4.5,1157.0,2460072443.0,0.371,-29.55,70.562,26.7,0.016005119845844466,0.00032862613735452223,2142252.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0
LTU,8.663828026422763,20.7,1.1485315738006328,1.1588160527838685,3.7957649508517184,3.8,19116.0,53411968400.0,0.712,55.2,44.7,28.8,0.44104718944779586,0.0033286998995055443,2794184.0,2.0,0.0,2.0,2.0,5.0,2.0,2.0
LUX,9.618800807497466,10.0,1.3823860994081907,1.4060808344984967,6.59904925815046,5.0,116348.0,70862634400.0,0.692,49.77,235.1,23.5,0.46999481995263026,0.0018341928736882915,613894.0,3.0,0.0,3.0,2.0,5.0,2.0,1.0
LVA,8.34278706097561,21.9,1.2168276373479212,1.2236451395772245,4.477124668054133,5.0,17818.0,34398215400.0,0.724,57.0,30.4,37.0,0.47500895848264135,0.0031068226137102284,1919968.0,2.0,0.0,2.0,2.0,5.0,2.0,2.0
MAC,23.98368113313008,,2.3475207702889964,2.3576905645433066,,4.3,84096.0,53859116535.0,0.759,22.166667,21717.124,,0.0012212362668670748,9.240123078439404e-06,649342.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0
MAR,20.45563893495935,12.4,2.742448777262387,2.643671204058872,0.4070749981485756,7.0,3204.0,118725279596.0,0.5,32.0,82.703,23.4,0.034264207005486075,0.000440957841926963,36910558.0,3.0,2.0,3.0,2.0,0.0,3.0,2.0
MCO,15.267924224593495,,20.500502984671154,22.629878618941472,,2.9,185829.0,7188238072.0,,43.731111,26338.255,,0.3687442666394863,0.0016053409438385486,39244.0,2.0,0.0,3.0,2.0,5.0,3.0,1.0
MDA,11.658083132994923,24.9,1.01017574603723,0.9422085693503518,1.2848081207122208,5.7,4498.0,11955435456.0,0.58,47.25,122.799,24.2,0.1445682570712721,0.0029271463322792005,4033963.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0
MDG,19.673244125,22.9,1.8433832283311784,1.40910816700682,0.022212199246714217,4.5,522.0,14083906356.0,0.374,-20.0,47.596,,0.0024069897897220755,5.0919036240594826e-05,27691019.0,4.0,2.0,3.0,2.0,0.0,4.0,0.0
MDV,28.900444136178862,13.4,2.4278903625042405,2.0987850740210408,5.826991460855249,9.2,10790.0,5729248472.0,,4.18,1801.807,28.3,0.34218617609732455,0.0005697984615441539,540542.0,[],[],[],[],[],[],[]
MEX,19.460286340447155,15.7,1.8234988735248472,2.1125425757430567,0.15603491162380143,13.5,9863.0,1258286717124.0,0.607,23.0,66.325,14.0,0.02683585538854335,0.00021609674712183864,110991953.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0
MHL,28.148458660569105,,1.140823342014672,1.4074287969420138,2.4449652452490573,30.5,3788.0,221278000.0,,9.82,328.856,,0.25644490995709024,0.0002871912693854107,59194.0,[],[],[],[],[],[],[]
MKD,,20.3,2.9025812728533595,2.538685642118645,0.8991223448449706,9.3,6093.0,12694823394.0,0.534,,83.4,,0.16459666501695608,0.004581316931230177,2077132.0,[],[],[],[],[],[],[]
MLI,29.688854839632278,24.6,1.3957569045951561,1.754748917119071,0.029875312789586838,2.4,890.0,17510141171.0,0.317,17.0,16.596,12.3,0.0015991933961830905,3.6492324217363096e-05,20250834.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0
MLT,19.085646395325206,10.8,1.6232831471535087,1.595204834077998,5.302027210248922,8.3,30090.0,14606972200.0,0.701,35.883333,1548.3,25.5,0.23168050830802397,0.0016269584791281286,493559.0,3.0,0.0,3.0,2.0,5.0,4.0,2.0
MMR,27.757955085452696,24.2,9.912189273691942,11.836551583586832,0.17755452987362663,3.9,1407.0,76085852617.0,0.473,22.0,83.286,20.3,0.01135345228471183,0.0003573621322661137,54409794.0,4.0,2.0,3.0,2.0,0.0,4.0,2.0
MNE,15.563459961382113,20.6,0.970957897430781,0.972261418232942,,9.0,8832.0,5494736901.0,0.615,42.766667,45.7,45.9,0.4465011845408578,0.00446493148307087,622182.0,[],[],[],[],[],[],[]
MNG,2.892723936927772,30.2,2.3466172105997356,2.1704981270027277,5.527100345205519,4.7,4295.0,13852850259.0,0.626,47.0,2.11,25.6,0.29942970302828426,0.0006497285781742444,3278292.0,4.0,1.0,3.0,2.0,0.0,2.0,2.0
MNP,28.515627339068825,,,,1.7031209756707828,,23258.0,1323000000.0,,16.705,125.124,,0.22855604009937974,0.0006949632538179543,57557.0,[],[],[],[],[],[],[]
MOZ,24.038020354338844,18.4,8.897653911336088,8.78626160766691,0.054129711208655264,3.3,491.0,14934159925.0,0.361,-19.0,39.746,16.6,0.0073646071475249025,7.109163574271162e-05,31255435.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0
MRT,29.767806333333336,18.1,4.1201094506067335,5.4585425791579585,0.12306602845657913,7.1,1677.0,7593752450.0,0.353,21.0,4.511,,0.013501632377421144,0.0002135640025292172,4649660.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0
MSR,27.25267811133603,,8.227732503022343,8.693405347736215,,,,,,16.75,49.99,,0.265253050610122,0.0016003200640128026,4999.0,[],[],[],[],[],[],[]
MTQ,27.196851646761132,,,,,,,,,14.65,354.024,,0.5849972685968582,0.002760715760862324,375265.0,[],[],[],[],[],[],[]
MUS,23.157421531504063,22.6,18.146181089550435,17.46857444935993,,22.0,11203.0,14180444557.0,0.626,-20.2,626.4860000000001,21.6,0.20518459749309426,0.0008051789360786999,1271767.0,2.0,0.0,3.0,2.0,0.0,3.0,0.0
MWI,19.27135552974186,16.4,0.5703909600445088,0.6057647238792222,0.02091715483749077,4.5,411.0,7666704427.0,0.407,-13.0,202.906,14.5,0.004591856070753957,0.00013983305240393928,19129955.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0
MYS,26.71046386280488,17.2,1.482715970362989,1.5031090343576679,2.030266049360709,16.7,11414.0,364701517787.0,0.622,3.780511,98.512,21.5,0.14740906557567815,0.0011115772582788758,32655400.0,3.0,2.0,3.0,2.0,0.0,3.0,2.0
MYT,27.039493035569105,,,,,,,,,-12.843056,727.501,,0.1472107267615546,0.0006854512065040889,272813.0,[],[],[],[],[],[],[]
NAM,19.843925421267894,21.3,1.4146844703226733,1.4705865690464224,0.5900394613456729,4.5,4957.0,12366527719.0,0.435,-23.0,3.086,21.4,0.06558461594165253,0.0016045394652951927,2540916.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0
NCL,23.24381399898374,,9.191883456921584,9.263183622445386,,21.8,,,,-21.25,15.618,,0.2599801745063767,0.0010998595402306904,285491.0,[],[],[],[],[],[],[]
NER,31.40560673285568,20.0,3.8378086694904656,4.544304443187056,0.017691429738522942,2.4,554.0,12928145120.0,0.316,17.0,19.11,7.7,0.0003878275362177545,1.288902762035997e-05,24206636.0,2.0,0.0,3.0,2.0,0.0,3.0,0.0
NGA,27.05290505010225,22.5,1.9609648946589453,1.7567128328982229,0.0210230014650518,3.1,2229.0,448120428858.0,0.342,9.0,226.336,5.8,0.0012836787142685019,1.5300312016245573e-05,206139587.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0
NIC,27.39884061280488,14.2,13.489329292595494,13.634720208863488,,11.4,1912.0,12520915291.0,0.531,13.0,55.049,,0.002262793842423203,3.683266828227228e-05,6624554.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
NLD,11.320110184771572,11.2,8.320553895637877,8.572334861793228,2.3675544162691518,5.4,52982.0,913366020000.0,0.8,52.316667,504.0,25.8,0.4861238723416739,0.0013088639425516354,17282163.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0
NOR,6.062393036548223,9.2,1.2426932962377122,1.276177914631257,2.581369944212728,5.3,75419.0,403336363636.0,0.771,65.0,17.2,20.2,0.2742385250436732,0.0007578527280821408,5328212.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
NPL,22.67295942538071,21.8,3.027254947924939,3.344712734052843,0.3052125968408527,7.2,1071.0,30641380604.0,0.49,28.0,203.256,22.8,0.03429068139516175,0.0004123650058029692,29136808.0,2.0,1.0,3.0,2.0,0.0,4.0,2.0
NRU,,,69.44188049966156,64.56833425635345,,12.0,9396.0,118223430.0,,-0.533333,541.7,40.0,0.42551227616762044,9.230201218386561e-05,10834.0,[],[],[],[],[],[],[]
NZL,13.856612893292683,10.1,1.5057831627687792,1.552484969281053,1.728001494681519,6.2,42084.0,206928765543.0,0.767,-41.2,18.314,16.0,0.3619030851474825,0.0006127866488409001,4822233.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0
OMN,27.211439261780104,17.8,7.359333299651577,6.467193998599299,,10.1,15474.0,76983094928.0,0.622,21.0,16.5,11.1,0.07793664774874663,0.0009062742454796929,5106622.0,4.0,0.0,3.0,2.0,0.0,4.0,2.0
PAK,24.7780598800813,24.7,2.0655136704163324,2.108611383217465,0.30458828722205183,19.9,1284.0,278221906022.0,0.389,30.0,286.546,20.1,0.007169936560631433,0.00013716184651064233,220892331.0,3.0,1.0,3.0,2.0,0.0,4.0,2.0
PAN,27.502115967479675,13.0,6.936151773232238,6.6998804459628225,1.7602607916541215,7.7,15731.0,66800800000.0,0.532,8.616667,58.041,6.1,0.22810820883069496,0.0019669655471626748,4314768.0,2.0,2.0,3.0,2.0,0.0,4.0,2.0
PER,25.122618641547863,12.6,1.7146678455078475,1.7508895781754028,,6.6,6977.0,226848050819.0,0.586,-9.4,25.759,4.8,0.14048152936687108,0.0073573566623569816,29381884.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0
PHL,27.842772700611,26.8,3.1939321708770803,3.1744316992853254,0.3643881627744321,7.1,3485.0,376795508679.0,0.5480000000000002,12.0,367.512,24.3,0.03873553177525894,0.000618106860967341,100979303.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0
PLW,26.678418797570853,,2.121421243537216,2.3172162791884214,,17.9,15859.0,283994900.0,,7.466667,39.33,15.6,0.3001326553172673,0.00033163829316825116,18092.0,[],[],[],[],[],[],[]
PNG,28.36939989946524,30.0,0.8939984836782734,0.809749894201355,,17.9,2845.0,24969611434.0,0.384,-6.3,19.757,36.3,0.005021891629476473,7.421459664757914e-05,8947027.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0
POL,9.987311979695432,18.7,0.8352458180804735,0.9628393043646786,1.2667411105800759,6.1,15222.0,585705873800.0,0.747,52.0,123.6,28.0,0.164146837479405,0.003089473594949987,37972812.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0
PRI,27.14387096153846,,,,1.2578363049941623,13.7,32873.0,104988600000.0,,18.25,322.53,,0.32996322758350694,0.0017662644537967869,2860840.0,3.0,0.0,3.0,2.0,0.0,3.0,2.0
PRT,17.105037375634517,11.1,9.970598591784217,10.901223734369518,5.069667777174175,9.8,23364.0,240597516000.0,0.776,38.7,113.0,22.7,0.5304722361454164,0.002427257919605255,10276617.0,3.0,0.0,3.0,2.0,0.0,3.0,2.0
PRY,23.97953986395939,17.5,2.0981907556839294,2.3097323862907104,0.49212475721722787,9.6,5414.0,38145288939.0,0.533,-23.5,17.953,13.4,0.10035793750604624,0.0027381588300364667,7132530.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0
PSE,,,0.0,0.0,1.0640120255886305,9.5,3198.0,14615900000.0,0.554,,847.411,,0.1377593985669861,0.0011187090015791694,5101416.0,4.0,2.0,1.0,2.0,0.0,0.0,2.0
PYF,26.956517237804878,,10.081517036206183,10.044356790932133,,19.5,,,,-17.533333,76.75,,0.2726127075442144,0.002310397858343064,280904.0,[],[],[],[],[],[],[]
QAT,28.310608621951218,15.3,2.08702666956043,2.246285859145383,7.144131394574279,15.6,64781.0,183466208791.0,0.615,25.269535,248.153,20.6,0.15220057895357958,0.00023671843002228345,2881060.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0
REU,23.157421531504063,,,,,,,,,-21.114444,358.123,,0.5301225946825003,0.0009873697096418215,895308.0,[],[],[],[],[],[],[]
RKS,11.741506766260164,,,,,,,,,42.55,,,0.14440701044812104,0.001693557894826284,1883018.0,1.0,2.0,3.0,2.0,0.0,4.0,1.0
ROU,8.815355646700509,21.4,0.8194715545719263,0.7935286391673405,,6.9,12390.0,241475766400.0,0.601,46.0,83.1,29.7,0.16725370339980647,0.00344495839131847,19414458.0,2.0,0.0,3.0,2.0,5.0,4.0,1.0
RUS,-4.106462652085453,25.4,1.245308520729265,1.3738205748193426,2.2746412502790054,6.1,11584.0,1699876578871.0,0.729,66.416667,8.911,39.3,0.13886373376103217,0.0026431522753433286,145934460.0,3.0,1.0,3.0,2.0,5.0,2.0,2.0
RWA,22.30894885380711,18.2,14.925336216708214,10.558181619830254,0.5210692882548548,5.1,801.0,10122472590.0,0.374,-1.940278,525.019,12.3,0.01022790784182065,0.00011318532614784088,12952209.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0
SAU,28.00274295731707,16.4,2.838655430438333,1.307462623313827,1.4737376495497587,15.8,23139.0,792966838161.0,0.585,23.716667,16.195,15.6,0.023405299962799306,0.0002677668642785359,34813867.0,3.0,0.0,3.0,2.0,5.0,3.0,2.0
SDN,30.142630966839377,26.0,3.420074498087224,4.333851690239775,,22.1,441.0,18902284475.0,0.379,15.0,24.843,,0.0014430115129171253,0.00011313757590804991,43849269.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0
SEN,30.227242877800407,18.1,1.356118638548749,0.7789350306838707,0.08289774294552016,2.4,1446.0,23578084052.0,0.418,14.366667,86.968,8.2,0.0052693722441505665,0.00011753513064137273,16743930.0,3.0,0.0,3.0,2.0,0.0,3.0,1.0
SGP,27.513703648373987,9.3,1.3909800791347946,1.3829250953950496,16.203401158778988,5.5,65233.0,372062527488.0,0.884,1.3,8357.633,16.5,0.3191553042274615,0.0002741719588065178,5850343.0,3.0,1.0,3.0,2.0,5.0,4.0,1.0
SLB,27.34444632926829,23.8,6.122769610732693,8.868823866829336,,19.0,2127.0,1425074225.0,0.44299999999999995,-9.466667,24.54,,0.03136510413785272,0.000222746979813009,686878.0,[3. 4.],0.0,1.0,2.0,0.0,0.0,1.0
SLE,27.620660826552463,30.5,6.860364536225153,8.275475121125453,0.010804153825380745,2.4,504.0,3941474310.0,0.3509999999999999,8.5,110.515,24.8,0.0009714196529139768,1.567008086388529e-05,7976985.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0
SLV,26.599698012195123,14.0,3.948551793525359,3.879504283819973,0.4523107788294255,8.8,4187.0,27022640000.0,0.501,13.668889,313.041,9.9,0.031109890057369482,0.0006518453560103981,6486201.0,1.0,0.0,3.0,2.0,0.0,4.0,2.0
SMR,15.587436632113821,,6.752461799271888,6.463256526607342,,5.9,48481.0,1637931034.0,,43.933333,565.633,,0.6055748718250928,0.003476928516706936,33938.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0
SOM,,21.8,2.495528758184661,3.205519774048151,,5.1,,,,6.0,25.334,,0.001711232947837691,8.563400529496259e-05,15893219.0,1.0,1.0,3.0,2.0,0.0,3.0,1.0
SRB,11.282407389227641,19.1,2.1378163946863027,2.0366171493520855,1.6744100531988364,9.0,7402.0,51409167350.0,0.755,43.95,91.0,38.9,0.3338308133360062,0.0024190940416705677,6963764.0,1.0,1.0,3.0,2.0,5.0,3.0,2.0
SSD,,19.8,3.043339780221317,2.6642322275612624,0.061906510858209356,10.2,1119.0,11997800760.0,0.302,7.0,18.322,,0.0015883893562190043,1.2328331336232993e-05,11193729.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0
STP,27.214762060020345,18.5,11.21216043311961,12.893717404100183,2.14180442688252,2.4,1994.0,429016605.0,,0.316667,228.293,,0.028184759149666228,0.00034677702693453673,219161.0,[],[],[],[],[],[],[]
SUR,27.395884661241098,21.7,1.9211296992673457,1.9510118992931103,0.6522883867190538,12.5,6854.0,3985250737.0,,4.0,3.76,25.0,0.13820883208269552,0.0023592222748766694,586634.0,4.0,2.0,1.0,2.0,0.0,4.0,2.0
SVK,4.950156525888325,17.2,0.8244568051354842,0.9039953432628176,11.204803501440558,6.5,19470.0,105870732800.0,0.694,49.0,111.8,30.1,0.33729376134430716,0.0037476004147202575,5450421.0,2.0,0.0,3.0,2.0,5.0,3.0,2.0
SVN,11.259329613197968,12.7,1.1366016824552485,1.2147713681988965,10.121832331624608,5.9,26078.0,53990687600.0,0.788,46.0,102.9,22.5,0.5523377294911644,0.003936262439281314,2080908.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
SWE,5.84765150964467,9.1,8.709913188843991,8.813152832333527,2.495617730076354,4.8,54634.0,556025322000.0,0.8,61.0,25.0,18.8,0.2520502806156487,0.001955585358427047,10230185.0,3.0,1.0,2.0,2.0,5.0,0.0,2.0
SWZ,20.02010415352261,26.7,6.588313212204317,5.8865600035857,0.2870283856420299,4.5,3837.0,4405405802.0,0.409,-26.483333,67.451,9.0,0.06324450681110602,0.0012256887819308304,1160164.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0
SXM,27.449676467611337,,7.880667308199341,6.579041298903778,,6.8,,,,18.031944,1261.235,,0.25313651415512334,0.0020288232824961522,42882.0,[],[],[],[],[],[],[]
SYC,,21.2,10.19378472771463,9.045679106501256,,12.3,17401.0,1698843062.0,0.678,-7.1,213.783,21.5,0.4714053284523083,0.001718527557453732,98340.0,3.0,0.0,[2. 3.],2.0,5.0,3.0,2.0
SYR,20.032687539634146,21.8,2.8824317852752612,3.8181618501003083,,13.5,,,,35.216667,95.304,,0.0032682772995322406,0.0001807360717943332,17500657.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
TCA,26.874957712690357,,22.782348171954624,29.829241474987636,,,27142.0,1022312010.0,,21.78,40.756,,0.16478123870034608,0.0009298000929800093,38718.0,[],[],[],[],[],[],[]
TCD,31.9324235627907,23.9,4.774990829213651,4.639112521498285,,6.0,709.0,11314951342.0,0.293,15.466667,13.045,,0.00046012814307002146,1.1749766024413091e-05,16425859.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0
TGO,27.45452615392457,23.6,4.535905912154654,6.209255339738544,0.11652304020063203,2.4,675.0,5459979416.0,0.413,8.25,152.211,7.4,0.004671969247479325,3.4304753769174426e-05,8278736.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0
THA,28.963727036585365,14.5,1.491888013020999,1.5757138973137697,0.40176030634590876,7.0,7808.0,543649976165.0,0.604,14.0,136.624,19.9,0.0669242188013297,0.0004669199179403753,69799978.0,3.0,1.0,2.0,2.0,0.0,3.0,2.0
TJK,10.240235380020598,25.3,9.396126918670474,8.961272590863189,,6.1,870.0,8116626794.0,0.533,38.583333,68.145,,0.001864821514584003,1.3105964765714628e-05,9537642.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0
TLS,27.879573180894308,19.9,9.559626862100899,10.368934476964037,0.771449264443268,6.7,1294.0,1673540300.0,0.434,-8.966667,88.665,42.6,0.01762459023605134,0.00010466899567823234,1318442.0,4.0,0.0,1.0,2.0,0.0,3.0,0.0
TON,25.342062400817994,23.3,20.940824743759773,23.904449241024544,,15.7,4364.0,450353313.0,0.512,-20.587778,146.801,27.9,0.15309800656593847,0.00011353207754240896,105697.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0
TTO,27.344328128672746,21.3,1.2396983840802598,1.2404789816489796,1.0107997089951997,11.0,17276.0,24100202833.0,0.613,10.666667,272.805,,0.1297378832732758,0.002983942018919736,1399491.0,4.0,0.0,1.0,2.0,0.0,4.0,2.0
TUN,21.333501751016257,16.1,1.7408746317094363,2.3020869477744443,0.8229626808648911,8.5,3317.0,38797709923.0,0.508,34.0,76.072,32.7,0.09689483152767946,0.0024743163710003995,11818618.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0
TUR,13.68239925101626,16.1,1.1605375655945847,1.2052704072259928,2.499644700911566,11.1,9042.0,754411708202.0,0.626,39.0,106.2,27.2,0.2055071246505135,0.001232478238042438,82003882.0,1.0,0.0,2.0,2.0,0.0,4.0,2.0
TWN,24.53811977743902,,2.290602407847501,2.073885233868464,0.6156952400146535,,,,,24.0,672.6,,0.2456146140692852,0.00043763271895544214,23816775.0,3.0,0.0,3.0,2.0,0.0,3.0,0.0
TZA,22.02761764089522,17.9,12.40096344228502,13.712636369155256,,5.7,1122.0,63177068174.0,0.4,-6.307,67.435,14.8,0.0006571275995550489,1.4145997035233392e-05,59734213.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
UGA,23.493209962360122,21.9,3.565553027676724,3.068403061312191,0.07883488324605546,2.5,776.0,34387229486.0,0.382,1.28,228.922,10.0,0.003694737762619969,7.931614962506285e-05,45741000.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0
UKR,10.515735918450561,24.7,1.016117532823732,1.001904691827047,0.6453216075582997,6.1,3659.0,153781069118.0,0.647,49.0,75.492,28.9,0.11653233375159908,0.0024913248367239597,43733759.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0
URY,17.50869014314721,16.7,1.623108348502242,1.599648617347475,2.3177117498288964,7.3,16190.0,56045912952.0,0.6,-33.0,19.848,16.8,0.28293702988173797,0.00214812505415653,3473727.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0
USA,12.594429921052631,14.6,1.0885369615337244,1.2437195316395278,3.2828435644619165,10.8,65118.0,21374418877706.004,0.762,39.828175,36.185,21.8,0.27927418658981296,0.003036818614927874,331002647.0,3.0,1.0,3.0,2.0,5.0,3.0,2.0
UZB,16.12960829776423,24.5,3.883830575470253,4.693844077133047,,6.5,1724.0,57921286440.0,,41.0,78.677,12.6,0.007290464286283039,4.891064169178354e-05,33469199.0,3.0,0.0,1.0,2.0,0.0,3.0,1.0
VCT,27.495797476720647,23.2,1.9076988593340483,2.0333312302270454,0.6416351951832857,11.6,7463.0,825385185.0,,12.9,284.479,,0.08513975141283676,0.0010455442688851433,110947.0,[],[],[],[],[],[],[]
VEN,26.365186366869917,18.1,29.24110765689168,32.46658639033001,,7.0,,,,8.0,32.238,,0.019126251589405705,0.00020428371234250961,28435943.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0
VGB,27.494226841093116,,10.378157483417235,5.886108438984199,,14.2,,,,18.445,201.58,,0.24159142772100406,0.0021166120977610214,30237.0,[],[],[],[],[],[],[]
VIR,27.494226841093116,,,,1.3758383071312645,12.3,35938.0,3855000000.0,,18.333333,298.351,,0.21997069611101003,0.0011779014201852083,104423.0,4.0,1.0,3.0,2.0,5.0,3.0,1.0
VNM,26.75855037601626,17.1,2.49113615890747,2.307489743865361,2.2216380908658153,6.0,2715.0,261921244843.0,0.666,16.0,313.925,22.8,0.11761044435997182,0.00044311308702737123,97338583.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0
VUT,26.310782716463414,23.3,16.340424999060843,13.725713629094807,,11.9,3058.0,917058850.0,0.471,-16.633331,25.197,18.6,0.03881165554289435,4.558033534103858e-05,307150.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0
WLF,26.90544075813008,,11.627526044347933,10.74697360094959,,,,,,-14.30181,80.329,,0.06766850435710475,0.0006224435354792816,11246.0,[],[],[],[],[],[],[]
WSM,27.066447161094224,20.6,27.172431083524277,24.43293750534138,,9.2,4315.0,850655017.0,,-13.745,70.11,27.7,0.08008164911042791,0.00014616198780303412,198410.0,[],[],[],[],[],[],[]
YEM,29.233084413441954,30.6,0.6452905959889271,0.769922284478909,,5.4,968.0,27591261663.0,0.369,15.5,56.492,18.4,0.0004000540736850519,7.225247475622585e-05,29825968.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0
ZAF,17.463010450203253,26.2,0.7521650919499505,0.8641208154018979,0.5248945903125362,12.7,6001.0,351431649241.0,0.406,-29.0,48.891,20.3,0.0676964202041893,0.001721990487397378,59308690.0,1.0,2.0,3.0,2.0,0.0,3.0,1.0
ZMB,21.067936095124853,17.9,1.3959366373210558,1.6276865251590822,0.24487452716822916,4.5,1291.0,23064722446.0,0.396,-14.0,24.73,13.8,0.018126076890088293,0.0002185057449006079,18383956.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0
ZWE,18.94657719850187,19.3,0.6644185625685896,0.8515123884701854,0.19841494302435356,1.8,1463.0,21440758800.0,0.441,-19.0,38.42,15.8,0.017287240931749177,0.00037650726535897003,14862927.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0
